Column1,Column2,Column3
Αυστρία,364130392716,9197213
Βέλγιο,524159770700,11832049
Κροατία,86894257500,3861967
Κύπρος,31335895840,933505
Εσθονία,27570000000,1374687
Φινλανδία,228076735700,5603851
Γαλλία,2599275886000,68401997
Γερμανία,3621513000000,83445000
Ιρλανδία,423763736500,5343805
Ιταλία,2159024813400,58989749
Λετονία,49792061200,1871882
Λιθουανία,93791457500,2885891
Λουξεμβούργο,60350090000,672050
Μάλτα,22255998500,563443
Ολλανδία,877409863800,17942942
Πορτογαλία,330895478600,10639726
Σλοβακία,148636423800,5424687
Σλοβενία,7703845600,223949
Ισπανία,1609006159800,48610458
