Column1;Column2;Column3
1001;Προεδρία της Δημοκρατίας;4638000
1003;Βουλή των Ελλήνων;171950000
1004;Προεδρία της Κυβέρνησης;41689000
;Υπουργεία;1307609637000
1007;Υπουργείο Εσωτερικών;3830276000
1009;Υπουργείο Εξωτερικών;420237000
1011;Υπουργείο Εθνικής Άμυνας;6130000000
1015;Υπουργείο Υγείας;7177424000
1017;Υπουργείο Δικαιοσύνης;650803000
1020;Υπουργείο Παιδείας, Θρησκευμάτων και Αθλητισμού;6606000000
1022;Υπουργείο Πολιτισμού;575419000
1024;Υπουργείο Εθνικής Οικονομίας και Οικονομικών;1246518464000
1029;Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων;1281403000
1031;Υπουργείο Περιβάλλοντος και Ενέργειας;2341227000
1032;Υπουργείο Εργασίας και Κοινωνικής Ασφάλισης;18678084000
1034;Υπουργείο Κοινωνικής Συνοχής και Οικογένειας;3989553000
1036;Υπουργείο Ανάπτυξης;818045000
1039;Υπουργείο Υποδομών και Μεταφορών;2694810000
1041;Υπουργείο Ναυτιλίας και Νησιωτικής Πολίτικης;651864000
1045;Υπουργείο Τουρισμού;189293000
1053;Υπουργείο Ψηφιακής Διακυβέρνησης;1073928000
1055;Υπουργείο Μετανάστευσης και Ασύλου;475871000
1057;Υπουργείο Προστασίας του Πολίτη;2285820000
1060;Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας;1221116000
;Αποκεντρωμένες Διοικήσεις;79592000
1901;Αποκεντρωμένη Διοίκηση Αττικής;13091000
1902;Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας;10579000
1903;Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας;9943000
1904;Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου;14918000
1905;Αποκεντρωμένη Διοίκηση Αιγαίου;6188000
1906;Αποκεντρωμένη Διοίκηση Κρήτης;6497000
1907;Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης;18376000
;Σύνολο εξόδων Κρατικού Προϋπολογισμού;1307907506000
